0.02439143 0.05122201 0.025468759 0.00434759
0.05122201 0.0834187 0.019126106 0.003057111
0.0834187 0.1220547 0.018147507 0.001883908
0.1220547 0.168418 0.014290217 0.002137728
0.168418 0.2240539 0.014223796 0.001557924
0.2240539 0.2908169 0.00842268 0.000763323
0.2908169 0.3709326 0.007057432 0.000678476
0.3709326 0.4670714 0.005659711 0.00057139
0.4670714 0.582438 0.004979197 0.000385272
0.582438 0.7208778 0.004745435 0.000370401
0.7208778 0.8870057 0.00477211 0.000353525
0.8870057 1.086359 0.004576416 0.00031452
1.086359 1.325583 0.004586649 0.000316484
1.325583 1.612652 0.005052621 0.000311223
1.612652 1.957135 0.004439972 0.000270316
1.957135 2.370514 0.003982011 0.000247863
2.370514 2.866569 0.003787764 0.000242621
2.866569 3.461836 0.003168766 0.000218313
3.461836 4.176155 0.002954374 0.000211329
4.176155 5.033338 0.002255796 0.000199856
5.033338 6.061958 0.00206789 0.000201805
6.061958 7.296302 0.00149651 0.00019942
7.296302 8.777514 0.0012508 0.000205795
8.777514 10.55497 0.000812982 0.000211728
10.55497 12.68792 0.000933532 0.000230764
12.68792 15.24745 0.000506252 0.000244567
15.24745 18.3189 0.000737683 0.000269642
18.3189 22.00463 0.000821701 0.000292997
22.00463 26.4275 0.000887082 0.000320021
26.4275 31.73496 0.000732099 0.000348593
31.73496 38.1039 0.000720761 0.000382456
38.1039 45.74663 0.000844605 0.000416316
45.74663 54.91791 9.00088E-05 0.000449425
54.91791 65.92345 0.000841191 0.000498114
65.92345 79.13009 0.001052604 0.000543685
79.13009 92.33673 0.000888332 0.00055888
